"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Timo Schisanowski"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/timo-schisanowski"
"Helge Lindh"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-lindh"
"Nezahat Baradari"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nezahat-baradari"
"Armand Zorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/armand-zorn"
"Stefan Gelbhaar"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-gelbhaar"
"Rita Schwarzelühr-Sutter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rita-schwarzeluehr-sutter"
"Stephan Thomae"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-thomae"
"Christoph de Vries"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-de-vries"
"Nese Erikli"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nese-erikli"
"Daniela Ludwig"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/daniela-ludwig"
"Katharina Beck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katharina-beck"
"Chantal Kopf"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/chantal-kopf"
"Bengt Bergt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bengt-bergt"
"Detlef Müller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/detlef-mueller"
"Petra Pau"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/petra-pau"
"Falko Droßmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/falko-drossmann"
"David McAllister"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/david-mcallister"
"Nina Scheer"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nina-scheer"
"Ronja Kemmer"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ronja-kemmer"
"Zaklin Nastić"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/zaklin-nastic"
"Olaf in der Beek"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/olaf-in-der-beek"
"Ates Gürpinar"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/ates-guerpinar"
"Bernhard Herrmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/bernhard-herrmann"
"Roger Beckamp"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/roger-beckamp"
"Erik Marquardt"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/erik-marquardt"
