"Name","Party","Parliament","Q_A_Link","ID","Q_asked","Q_answered"
"Martina Stamm-Fibich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/martina-stamm-fibich/fragen-antworten?page=0",78991,39,38
"Jana Schimke"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/jana-schimke/fragen-antworten?page=0",79029,40,38
"Judith Skudelny"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/judith-skudelny/fragen-antworten?page=0",120169,38,38
"Johannes Fechner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-fechner/fragen-antworten?page=0",79390,38,38
"Sven-Christian Kindler"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-christian-kindler/fragen-antworten?page=0",78856,40,38
"Tobias Lindner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-lindner/fragen-antworten?page=0",79193,40,38
"Uwe Witt"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/uwe-witt/fragen-antworten?page=0",150295,40,40
"Michael Schrodi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-schrodi/fragen-antworten?page=0",121738,62,38
"Nils Schmid"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nils-schmid/fragen-antworten?page=0",108960,38,37
"Hanna Steinmüller"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/hanna-steinmuller/fragen-antworten?page=0",164996,39,37
"Till Steffen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/till-steffen/fragen-antworten?page=0",66475,37,37
"Katja Keul"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-keul/fragen-antworten?page=0",79247,38,37
"Dennis Rohde"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dennis-rohde/fragen-antworten?page=0",79066,36,36
"Astrid Rothe-Beinlich"," Bündnis 90/Die Grünen","Thüringen","https://www.abgeordnetenwatch.de//profile/astrid-rothe-beinlich/fragen-antworten?page=0",31020,36,36
"Markus Herbrand"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/markus-herbrand/fragen-antworten?page=0",146325,42,36
"Luise Amtsberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/luise-amtsberg/fragen-antworten?page=0",139271,37,36
"Jakob Blankenburg"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jakob-blankenburg/fragen-antworten?page=0",175437,35,35
"Oliver Luksic"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/oliver-luksic/fragen-antworten?page=0",120429,35,35
"Dennis Thering"," CDU","Hamburg","https://www.abgeordnetenwatch.de//profile/dennis-thering/fragen-antworten?page=0",66381,36,35
"Nicole Bauer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/nicole-bauer/fragen-antworten?page=0",141981,35,35
"Hannes Walter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hannes-walter/fragen-antworten?page=0",146792,35,34
"Andreas Schwarz"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-schwarz-0/fragen-antworten?page=0",108390,34,34
"Sören Bartol"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/soeren-bartol/fragen-antworten?page=0",78884,35,34
"Gökay Akbulut"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/goekay-akbulut/fragen-antworten?page=0",108563,34,34
"Jan Korte"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-korte/fragen-antworten?page=0",78854,34,34
"Stephanie Aeffner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stephanie-aeffner/fragen-antworten?page=0",175662,34,34
"Saskia Weishaupt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/saskia-weishaupt/fragen-antworten?page=0",178140,34,34
"Malte Kaufmann"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/malte-kaufmann/fragen-antworten?page=0",145844,34,34
"Siemtje Möller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/siemtje-moeller/fragen-antworten?page=0",146780,34,34
"Julia Willie Hamburg"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/julia-willie-hamburg/fragen-antworten?page=0",136148,59,33
"Agnieszka Brugger"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/agnieszka-brugger/fragen-antworten?page=0",78878,35,34
"Merle Spellerberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/merle-spellerberg/fragen-antworten?page=0",175627,34,33
"Yvonne Magwas"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/yvonne-magwas/fragen-antworten?page=0",78793,35,33
"Janine Wissler"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/janine-wissler/fragen-antworten?page=0",135302,51,34
"Ria Schröder"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/ria-schroeder/fragen-antworten?page=0",146289,36,33
"Kathrin Henneberger"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kathrin-henneberger/fragen-antworten?page=0",175598,33,32
"Renata Alt"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/renata-alt/fragen-antworten?page=0",121876,32,32
"Sabine Dittmar"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sabine-dittmar/fragen-antworten?page=0",79411,32,32
